city,foods
Hà Nội,Phở Thìn,Bún chả,Cốm làng Vòng,Trà chanh Nhà Thờ
Huế,Bún bò Huế,Cơm hến,Bánh bèo,Chè Huế
Đà Nẵng,Bánh xèo,Bún chả cá,Mì Quảng,Hải sản Mỹ Khê
Hội An,Cao lầu,Mì Quảng,Bánh bao - bánh vạc,Cơm gà Hội An
Nha Trang,Bún sứa,Hải sản nướng,Bánh căn,Nem Ninh Hòa
Đà Lạt,Bánh tráng nướng,Lẩu gà lá é,Sữa đậu nành,Kem bơ
Sài Gòn,Bánh mì Huỳnh Hoa,Cơm tấm,Bún riêu,Hủ tiếu Nam Vang
Phú Quốc,Hải sản tươi sống,Gỏi cá trích,Nước mắm Phú Quốc
Sa Pa,Thắng cố,Lẩu cá hồi,Cá suối nướng,Rượu táo mèo
Hải Phòng,Bún chả cá,Bánh xèo,Bún chả cá,Mì Quảng
Cần Thơ,Lẩu mắm,Bún cá,Bánh tét lá cẩm,Cá lóc nướng trui
Vũng Tàu,Hải sản tươi sống,Bánh khọt,Gỏi củ hũ dừa
Quảng Ninh,Chả mực Hạ Long,Sá sùng,Hàu nướng mỡ hành
An Giang,Bún cá Châu Đốc,Mắm thái Châu Đốc,Bánh bò thốt nốt
Cà Mau,Cua biển,Cá thòi lòi,Đuông dừa
Bến Tre,Kẹo dừa,Bánh tráng Mỹ Lồng,Mật ong hoa nhãn
Ninh Bình,Cơm cháy Ninh Bình,Dê núi Ninh Bình,Ốc núi
Thanh Hóa,Bánh gai Tứ Trụ,Nem chua Thanh Hóa
Nghệ An,Cháo lươn Vinh,Cua đồng,Bánh mướt
Hà Tĩnh,Bánh cu đơ,Kẹo cu đơ
Quảng Bình,Bánh bột lọc,Cá kho làng Vũng
Quảng Trị,Bánh ướt thịt nướng
Thừa Thiên Huế,Bánh canh Nam Phổ,Bánh nậm,Bánh lọc
Quảng Nam,Bánh đập,Hến trộn
Bình Định,Bánh hỏi lòng heo,Bún riêu,Bánh xèo tôm nhảy
Phú Yên,Bánh căn Phú Yên,Cá thu Đại Dương
Khánh Hòa,Bánh căn Nha Trang,Nem nướng Nha Trang
Bình Thuận,Bánh hỏi Bình Thuận,Bánh canh chả cá
Bà Rịa - Vũng Tàu,Bánh khọt Vũng Tàu,Gỏi củ hũ dừa
Tây Ninh,Bánh canh Trảng Bàng,Bánh tráng phơi sương
Long An,Dưa hấu Long An,Bánh tằm
Tiền Giang,Hỏa lò Thủ Thừa,Vú sữa Lò Rèn
Bình Dương,Bánh bò thốt nốt,Bánh tráng
Đồng Nai,Bưởi Tân Triều,Mãng cầu
Bình Phước,Hạt điều Bình Phước,Trái cây nhiệt đới
Lâm Đồng,Atiso Đà Lạt,Rau củ Đà Lạt
Gia Lai,Cà phê Gia Lai,Trái cây Tây Nguyên
Đắk Lắk,Cà phê Buôn Ma Thuột,Măng le
Kon Tum,Cơm lam,Gà nướng
Sóc Trăng,Bánh pía,Bánh cống
Bạc Liêu,Muối Bạc Liêu,Cá thòi lòi
Cà Mau,Cá kèo,Mắm ba khía
Kiên Giang,Hải sản Phú Quốc,Nước mắm Phú Quốc
Hậu Giang,Khô cá lóc,Bưởi Năm Roi
Vĩnh Long,Bưởi da xanh,Chuột đồng
Trà Vinh,Bánh tét,Cốm dẹp
Đồng Tháp,Hoa sen Đồng Tháp,Cá linh
An Giang,Bún nước lèo Châu Đốc,Mắm cá linh
Cần Thơ,Chuột nướng,Cá lóc nướng trui
